total_lines,blank_line_ratio,avg_line_length,long_line_ratio,comment_density,num_functions,num_classes,num_loops,num_conditionals,num_try_except,import_count,assertion_count,avg_function_length,max_function_length,docstring_ratio,avg_identifier_length,single_char_var_ratio,type_annotation_ratio,magic_number_count,nested_function_count,ast_parse_success,avg_cyclomatic_complexity,max_cyclomatic_complexity,maintainability_index,label
96,0.1146,40.98,0.0312,0.0,5,1,10,6,0,3,0,15.8,24,0.2,5.86,0.1062,1.0,0,0,1,4.5,7,55.8,human
100,0.16,36.45,0.02,0.0,4,1,0,3,0,4,0,16.75,28,0.75,6.22,0.0312,1.0,0,0,1,2.2,3,56.95,human
40,0.225,32.87,0.0,0.0,1,0,1,3,0,1,0,34.0,34,1.0,5.83,0.0,1.0,0,0,1,4.0,4,74.42,human
115,0.1826,45.33,0.1217,0.0957,1,0,1,7,0,2,1,62.0,62,1.0,8.26,0.0,1.0,2,0,1,15.0,15,76.94,human
109,0.211,45.01,0.1284,0.1279,1,0,4,4,0,1,0,67.0,67,1.0,5.57,0.4583,1.0,0,0,1,12.0,12,60.19,human
24,0.1667,35.45,0.0417,0.0,1,0,0,1,0,1,0,16.0,16,1.0,6.5,0.0,1.0,0,0,1,3.0,3,86.7,human
103,0.1553,39.24,0.0583,0.069,3,0,2,6,0,1,0,28.0,41,1.0,10.16,0.1333,1.0,5,0,1,3.33,5,66.35,human
79,0.2025,36.37,0.0633,0.1429,1,0,2,4,0,1,0,57.0,57,1.0,5.59,0.2759,1.0,1,0,1,6.0,6,56.65,human
30,0.2,35.08,0.0,0.0,1,0,0,2,0,0,0,18.0,18,1.0,6.62,0.1538,1.0,0,0,1,3.0,3,80.3,human
57,0.2982,29.82,0.0,0.0,2,0,1,3,0,1,0,24.5,31,1.0,4.1,0.2381,1.0,2,0,1,3.0,4,56.09,human
31,0.1935,33.84,0.0323,0.16,1,0,1,2,0,1,0,25.0,25,1.0,8.17,0.0,1.0,0,0,1,3.0,3,87.41,human
27,0.1852,27.73,0.0,0.0909,1,0,0,2,0,1,0,21.0,21,1.0,7.75,0.0,1.0,0,0,1,2.0,2,72.28,human
46,0.087,29.52,0.0435,0.0714,1,0,1,2,0,1,0,40.0,40,1.0,5.78,0.0,1.0,0,0,1,4.0,4,52.73,human
41,0.0976,28.89,0.0,0.0,1,0,0,3,0,1,0,35.0,35,1.0,2.5,0.75,1.0,0,0,1,3.0,3,54.96,human
58,0.1207,35.98,0.0862,0.0588,2,0,1,1,0,1,0,24.0,41,1.0,6.19,0.1875,1.0,6,0,1,1.0,1,40.03,human
43,0.1395,29.14,0.0233,0.027,1,0,0,2,0,1,0,34.0,34,1.0,15.46,0.0,1.0,2,0,1,3.0,3,85.03,human
52,0.1731,31.58,0.0192,0.0233,1,0,0,2,0,1,0,42.0,42,1.0,5.78,0.2222,1.0,0,0,1,5.0,5,62.23,human
29,0.1034,26.0,0.0,0.0,1,0,0,1,0,1,0,22.0,22,1.0,5.75,0.0,1.0,1,0,1,2.0,2,64.96,human
86,0.1163,29.5,0.0,0.0658,2,0,2,4,0,1,0,39.0,50,1.0,5.95,0.0909,1.0,2,0,1,3.5,4,63.19,human
30,0.1333,36.04,0.0333,0.0,1,0,1,3,0,1,0,24.0,24,1.0,5.7,0.0,1.0,0,0,1,6.0,6,82.05,human
100,0.24,29.0,0.02,0.0132,5,0,0,1,0,1,0,16.2,19,1.0,7.0,0.0,1.0,0,0,1,1.0,1,26.87,human
37,0.1351,30.03,0.0,0.0,1,0,1,3,0,1,0,31.0,31,1.0,3.82,0.1818,1.0,0,0,1,5.0,5,77.54,human
39,0.2051,26.35,0.0513,0.0,1,0,0,1,0,1,0,20.0,20,1.0,5.0,0.0,1.0,0,0,1,1.0,1,41.87,human
27,0.1481,26.13,0.037,0.0,1,0,1,1,0,1,0,21.0,21,1.0,4.57,0.0,1.0,2,0,1,2.0,2,75.48,human
37,0.1081,24.15,0.027,0.0,1,0,0,1,0,1,0,31.0,31,1.0,6.5,0.0,1.0,0,0,1,1.0,1,44.03,human
57,0.1754,26.66,0.0,0.0213,1,0,0,2,0,1,0,34.0,34,1.0,6.25,0.0,1.0,0,0,1,2.0,2,38.38,human
109,0.1376,35.04,0.0367,0.0319,3,0,0,6,0,1,0,31.0,35,1.0,12.18,0.0,1.0,2,0,1,3.33,4,53.59,human
40,0.2,26.28,0.0,0.0,1,0,1,1,0,1,0,34.0,34,1.0,5.31,0.1875,1.0,0,0,1,2.0,2,67.67,human
52,0.1731,32.51,0.0192,0.0233,1,0,0,2,0,1,0,42.0,42,1.0,5.78,0.2222,1.0,0,0,1,4.0,4,58.83,human
67,0.1493,25.02,0.0,0.0,1,0,1,4,0,1,0,44.0,44,1.0,4.6,0.3,1.0,0,0,1,5.0,5,52.07,human
55,0.1818,34.2,0.0,0.0,1,0,0,4,0,1,0,43.0,43,1.0,9.56,0.0,1.0,0,0,1,6.0,6,55.32,human
93,0.1183,33.4,0.0323,0.0,4,0,3,4,0,2,0,23.25,28,0.75,8.46,0.0,1.0,3,1,1,3.0,4,74.56,human
94,0.2553,33.57,0.0,0.1429,2,0,3,4,0,1,0,43.0,47,1.0,8.77,0.2,1.0,0,0,1,4.0,5,62.46,human
44,0.1364,31.32,0.0,0.0,1,0,0,3,0,2,0,35.0,35,1.0,2.29,0.7143,1.0,0,0,1,4.0,4,55.72,human
60,0.15,24.94,0.0,0.0,1,0,1,3,0,1,0,33.0,33,1.0,4.62,0.0,1.0,0,0,1,4.0,4,46.08,human
51,0.1569,33.3,0.0,0.0233,1,0,1,2,0,1,0,37.0,37,1.0,7.45,0.0,1.0,0,0,1,4.0,4,54.2,human
34,0.1471,28.14,0.0294,0.0,1,0,1,2,0,1,0,28.0,28,1.0,7.0,0.0,1.0,0,0,1,3.0,3,78.76,human
48,0.125,32.52,0.0417,0.0238,1,0,0,2,0,1,0,38.0,38,1.0,5.78,0.2222,1.0,0,0,1,4.0,4,61.84,human
125,0.2,34.64,0.024,0.0,6,0,5,5,2,3,0,16.83,28,1.0,9.21,0.0446,1.0,1,0,1,3.17,6,65.41,human
132,0.2045,36.12,0.053,0.019,4,1,2,2,0,1,0,20.75,26,1.0,5.05,0.0,1.0,4,0,1,2.0,3,36.49,human
48,0.1875,32.74,0.0208,0.0256,2,0,1,2,0,1,0,18.0,23,1.0,4.46,0.2083,1.0,0,0,1,3.0,4,75.67,human
46,0.2826,39.27,0.1087,0.0909,2,0,0,2,0,4,0,12.0,18,0.0,6.73,0.0,1.0,3,0,1,1.5,2,84.74,human
111,0.1802,33.01,0.018,0.0,5,0,5,5,2,2,0,18.0,28,1.0,8.55,0.0505,1.0,1,0,1,3.4,5,66.12,human
177,0.1073,42.91,0.0226,0.0063,3,1,2,8,1,2,0,45.0,70,1.0,8.43,0.3115,1.0,0,0,1,4.0,8,57.29,human
92,0.1739,34.67,0.0326,0.0132,7,2,3,4,0,2,0,9.86,19,0.5714,5.54,0.1947,1.0,0,0,1,2.33,5,68.28,human
225,0.2044,43.69,0.0756,0.0782,6,2,4,7,0,2,1,25.17,41,0.8333,7.44,0.0367,1.0,4,0,1,2.88,6,48.33,human
339,0.1947,42.09,0.0059,0.1648,7,1,5,10,0,3,0,40.71,96,0.8571,5.22,0.0893,1.0,1,0,1,3.38,6,41.07,human
100,0.26,41.64,0.06,0.2432,0,0,0,3,0,3,0,0.0,0,0.0,8.32,0.0,0.0,24,0,1,0.0,0,84.18,human
135,0.1556,36.96,0.0296,0.2281,2,0,4,7,0,3,0,52.5,53,1.0,4.19,0.2385,1.0,2,0,1,6.0,6,65.55,human
71,0.1408,35.05,0.0,0.0164,3,1,2,3,0,2,0,17.67,40,0.6667,3.94,0.3208,1.0,7,0,1,2.5,4,69.42,human
30,0.2,29.33,0.0,0.0,1,0,4,1,0,1,0,17.0,17,1.0,4.27,0.2703,1.0,1,0,1,6.0,6,87.34,human
128,0.1172,37.13,0.0234,0.0177,4,0,7,4,0,5,1,24.5,34,1.0,7.17,0.0066,1.0,11,0,1,4.25,6,70.12,human
186,0.1022,41.21,0.0484,0.018,4,0,9,6,0,6,1,38.75,83,1.0,6.78,0.0159,1.0,26,0,1,6.0,13,55.12,human
62,0.2581,35.72,0.0,0.1739,1,0,1,1,0,3,0,26.0,26,1.0,6.74,0.0526,1.0,6,0,1,2.0,2,85.14,human
131,0.2137,40.41,0.0458,0.0777,2,0,1,2,0,4,0,53.0,65,1.0,8.01,0.0087,1.0,12,0,1,2.0,3,69.88,human
103,0.1845,45.43,0.0485,0.0238,1,0,1,8,0,0,0,59.0,59,1.0,20.75,0.0,1.0,0,0,1,9.0,9,76.02,human
18,0.2222,28.21,0.0,0.0,1,0,0,1,0,0,0,8.0,8,1.0,10.25,0.0,1.0,4,0,1,1.0,1,81.45,human
69,0.2174,41.2,0.029,0.0741,1,0,2,4,0,2,0,34.0,34,1.0,6.12,0.2121,1.0,11,0,1,4.0,4,76.53,human
42,0.1667,39.26,0.0952,0.0,1,0,0,3,0,1,0,25.0,25,1.0,9.0,0.1818,1.0,0,0,1,4.0,4,70.84,human
40,0.175,30.73,0.025,0.0606,1,0,0,1,0,1,3,28.0,28,1.0,9.4,0.0,1.0,1,0,1,4.0,4,88.56,human
120,0.1,32.86,0.0167,0.0093,3,0,0,10,0,2,0,34.33,35,1.0,19.2,0.0,1.0,2,0,1,4.0,4,65.45,human
73,0.2329,45.59,0.0822,0.1071,1,0,1,3,0,2,0,46.0,46,1.0,10.03,0.0938,1.0,8,0,1,5.0,5,72.23,human
61,0.1639,36.57,0.0164,0.0392,1,0,0,4,0,1,0,44.0,44,1.0,13.67,0.0,1.0,2,0,1,5.0,5,72.57,human
108,0.1481,39.82,0.0185,0.1196,4,0,2,3,0,1,0,14.5,18,1.0,12.41,0.1961,1.0,4,0,1,1.5,2,68.87,human
312,0.0929,42.73,0.0385,0.1201,11,2,7,5,0,2,0,21.73,53,0.8182,5.41,0.0596,1.0,14,0,1,2.08,4,55.43,human
47,0.1915,36.05,0.0,0.1579,1,0,2,2,0,1,0,41.0,41,1.0,5.88,0.12,1.0,0,0,1,4.0,4,78.57,human
